t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,ref_vel_izq,vel_der,i_der,vel_der_est,i_der_est,u_der,ref_vel_der
0.0,0.0,0.00010471975510000001,-2.7650286109758214e-06,0.00010351985099014975,-2.8018433510846837e-05,0.0,0.0,0.00010471975510000001,-4.024159201880888e-06,0.00010290929825335806,-2.669801602988084e-05,0.0
0.025,0.0,0.0,-1.3101739468419022e-06,4.905126390253709e-05,-1.3276096393281897e-05,0.0,0.0,0.0,-1.802247346139012e-06,4.6088636247956566e-05,-1.1956889904278989e-05,0.0
0.05,0.0,0.0,-8.253798331495596e-07,3.090121362185905e-05,-8.363647758037724e-06,0.0,0.0,0.0,-1.118769775187622e-06,2.8610153497910084e-05,-7.422403511326479e-06,0.0
0.07500000000000001,0.0,0.0,-5.777975140119136e-07,2.163204040609928e-05,-5.854875760339726e-06,0.0,0.0,0.0,-7.817968000405909e-07,1.9992787568502524e-05,-5.186778765814853e-06,0.0
0.1,0.0,0.0,-4.256433050106585e-07,1.5935572956113068e-05,-4.313083655461098e-06,0.0,0.0,0.0,-5.788493838314202e-07,1.4802839771806625e-05,-3.840337658722916e-06,0.0
0.125,0.0,0.0,-3.223587514981299e-07,1.206872447099947e-05,-3.26649179325701e-06,0.0,0.0,0.0,-4.425734269877671e-07,1.131787250700573e-05,-2.9362239053658693e-06,0.0
0.15,0.0,0.0,-2.4806478993804015e-07,9.287248160526258e-06,-2.513664138993469e-06,0.0,0.0,0.0,-3.449020963077566e-07,8.820136310441713e-06,-2.288229971425628e-06,0.0
0.175,0.0,0.0,-1.9271948674927313e-07,7.215186572493333e-06,-1.952844958237637e-06,0.0,0.0,0.0,-2.719777293934123e-07,6.955250989585933e-06,-1.8044181192888285e-06,0.0
0.19999999999999998,0.0,0.0,-1.505922191005468e-07,5.6379922505201245e-06,-1.5259653553517066e-06,0.0,0.0,0.0,-2.1608222569217914e-07,5.5258425659687234e-06,-1.433583125224509e-06,0.0
0.22499999999999998,0.0,0.0,-1.180944768290529e-07,4.421315756183199e-06,-1.1966626362007185e-06,0.0,0.0,0.0,-1.7250201935198653e-07,4.411371635021722e-06,-1.1444531507300629e-06,0.0
0.24999999999999997,0.0,0.0,-9.2815115486146e-08,3.4748867666877074e-06,-9.405044534657538e-07,0.0,0.0,0.0,-1.3814225701425578e-07,3.5326939155833183e-06,-9.164955974593029e-07,0.0
0.27499999999999997,0.0,0.0,-7.304789136501356e-08,2.7348255784853557e-06,-7.402012810118582e-07,0.0,0.0,0.0,-1.108526559997406e-07,2.8348205092387804e-06,-7.3544455828568e-07,0.0
0.3,0.0,0.0,-5.754024988049157e-08,2.1542380561458244e-06,-5.830608655007515e-07,0.0,0.0,0.0,-8.907339272719562e-08,2.2778622510508976e-06,-5.909514876162641e-07,0.0
0.325,0.0,0.0,-4.534931843343771e-08,1.6978241825910212e-06,-4.595289896368919e-07,0.0,0.0,0.0,-7.163630126451304e-08,1.8319457860453235e-06,-4.7526626642869846e-07,0.0
0.35000000000000003,0.0,0.0,-3.575338250126957e-08,1.3385638322162116e-06,-3.6229245153486297e-07,0.0,0.0,0.0,-5.764624370279443e-08,1.4741798692640093e-06,-3.8245016192423427e-07,0.0
0.37500000000000006,0.0,0.0,-2.819395343523985e-08,1.0555478596741569e-06,-2.85692032453806e-07,0.0,0.0,0.0,-4.640616499277474e-08,1.1867388028749714e-06,-3.0787860883482324e-07,0.0
0.4000000000000001,0.0,0.0,-2.223580615509046e-08,8.32481959536044e-07,-2.253175550703085e-07,0.0,0.0,0.0,-3.736719865433467e-08,9.555864959912312e-07,-2.4791018907816023e-07,0.0
0.4250000000000001,0.0,0.0,-1.7538249426330143e-08,6.566110601269588e-07,-1.7771676251408162e-07,0.0,0.0,0.0,-3.0093883471114296e-08,7.695869557402508e-07,-1.9965586423628369e-07,0.0
0.4500000000000001,0.0,0.0,-1.3833832337740682e-08,5.179221196638397e-07,-1.40179549097707e-07,0.0,0.0,0.0,-2.4238965705496903e-08,6.198599075952035e-07,-1.6081180253023163e-07,0.0
