time,Index,CorrienteD_mA,RPMD,CorrienteI_mA,RPMI,pwm
0,0.0,0.00361,0.00041888,0.002936,0.00010472,0
1,0.05,0.00361,0.0,0.002936,0.0,0
2,0.1,0.00361,0.0,0.002936,0.0,0
3,0.15000000000000002,0.00361,0.0,0.002936,0.0,0
4,0.2,0.00361,0.0,0.002936,0.0,0
5,0.25,0.00361,0.0,0.002936,0.0,0
6,0.30000000000000004,0.00361,0.0,0.002936,0.0,0
7,0.35000000000000003,0.00361,0.0,0.002936,0.0,0
8,0.4,0.00361,0.0,0.002936,0.0,0
9,0.45,0.00361,0.0,0.002936,0.0,0
10,0.5,0.00361,0.0,0.002936,0.0,0
11,0.55,0.00361,0.0,0.002936,0.0,0
12,0.6000000000000001,0.00361,0.0,0.002936,0.0,0
13,0.65,0.00361,0.0,0.002936,0.0,0
14,0.7000000000000001,0.00361,0.0,0.002936,0.0,0
15,0.75,0.00361,0.0,0.002936,0.0,0
16,0.8,0.00361,0.0,0.002936,0.0,0
17,0.8500000000000001,0.00361,0.0,0.002936,0.0,0
18,0.9,0.00361,0.0,0.002936,0.0,0
19,0.9500000000000001,0.00361,0.0,0.002936,0.0,0
20,1.0,0.00361,0.0,0.002936,0.0,0
21,1.05,0.00361,0.0,0.002936,0.0,0
22,1.1,0.00361,0.0,0.002936,0.0,0
23,1.1500000000000001,0.00361,0.0,0.002936,0.0,0
24,1.2000000000000002,0.00361,0.0,0.002936,0.0,0
25,1.25,0.00361,0.0,0.002936,0.0,0
26,1.3,0.00361,0.0,0.002936,0.0,0
27,1.35,0.00361,0.0,0.002936,0.0,0
28,1.4000000000000001,0.00361,0.0,0.002936,0.0,0
29,1.4500000000000002,0.00361,0.0,0.002936,0.0,0
30,1.5,0.00361,0.0,0.002936,0.0,0
31,1.55,0.00361,0.0,0.002936,0.0,0
32,1.6,0.00361,0.0,0.002936,0.0,0
33,1.6500000000000001,0.00361,0.0,0.002936,0.0,0
34,1.7000000000000002,0.00361,0.0,0.002936,0.0,0
35,1.75,0.00361,0.0,0.002936,0.0,0
36,1.8,0.00361,0.0,0.002936,0.0,0
37,1.85,0.00361,0.0,0.002936,0.0,0
38,1.9000000000000001,0.00361,0.0,0.002936,0.0,0
39,1.9500000000000002,0.00361,0.0,0.002936,0.0,0
40,2.0,0.00361,0.0,0.002936,0.0,255
41,2.0500000000000003,0.00361,0.0,0.002936,0.0,255
42,2.1,0.8173400000000001,7.43239728,0.818808,6.8815700799999995,255
43,2.15,0.56629,13.092408559999999,0.647223,12.054947519999999,255
44,2.2,0.48527800000000004,13.918439919999999,0.5390750000000001,13.918439919999999,255
45,2.25,0.475916,14.088924079999998,0.489722,14.015515359999998,255
46,2.3000000000000003,0.455762,14.154478799999998,0.476431,14.293442239999997,255
47,2.35,0.452945,14.44214464,0.49337200000000003,14.637238,255
48,2.4000000000000004,0.44564499999999996,14.688027199999999,0.476273,14.329780079999999,255
49,2.45,0.440131,15.05653688,0.482422,14.583307199999998,255
50,2.5,0.444336,14.614723199999998,0.47563799999999995,14.44078328,255
51,2.5500000000000003,0.44989,14.486545920000001,0.48527800000000004,14.35491288,255
52,2.6,0.455762,14.081070079999998,0.47488400000000003,14.2712416,255
53,2.6500000000000004,0.45104099999999997,14.535345439999999,0.475439,14.682267600000001,255
54,2.7,0.449295,14.499740639999999,0.484009,14.34255592,255
55,2.75,0.44802600000000004,14.77065128,0.47833600000000004,14.5974444,255
56,2.8000000000000003,0.447668,14.31616648,0.467386,14.694415119999999,255
57,2.85,0.43961500000000003,14.847096879999999,0.495236,15.13214472,255
58,2.9000000000000004,0.443701,14.535345439999999,0.483334,14.83055112,255
59,2.95,0.46274400000000004,14.451883599999999,0.472702,14.69839448,255
60,3.0,0.45572199999999996,14.82489624,0.477939,14.682267600000001,255
61,3.0500000000000003,0.44985,14.41952512,0.483176,14.583307199999998,255
62,3.1,0.44842200000000004,14.3037048,0.47778,14.83055112,255
