t,i_izq,vel_izq,i_izq_est,vel_izq_est,u_izq,ref_vel_izq,i_der,vel_der,i_der_est,vel_der_est,u_der,ref_vel_der
0.0,0.0030299999999999997,0.0,0.0009727328083538371,0.00020017547761907962,-0.0030599254253600642,0.0,0.0036,0.0,0.0011557221485392125,0.00023783225063653022,-0.0036355549608238385,0.0
0.01,0.0030299999999999997,-0.0,0.0008416699877848817,0.00030959886017293626,-0.003332553729045671,0.0,0.0036,-0.0,0.0010000039458830277,0.00036784022990843905,-0.003959469777083966,0.0
0.02,0.0030299999999999997,-0.0,0.0005945093228790399,0.00035824693711714744,-0.0030547582572580446,0.0,0.0036,-0.0,0.0007063477103513345,0.00042563992528769993,-0.0036294157511976765,0.0
0.03,0.0030299999999999997,-0.0,0.00037503188063866855,0.0003633195848873661,-0.0026166222095666348,0.0,0.0036,-0.0,0.00044558243244198243,0.00043166683352954387,-0.0031088580707722396,0.0
0.04,0.0030299999999999997,-0.0,0.0002124563577044501,0.0003422200856211596,-0.002167256735340248,0.0,0.0036,-0.0,0.0002524233952924159,0.00040659812153009056,-0.002574958497433958,0.0
0.05,0.0030299999999999997,-0.0,0.00010273901691025604,0.0003084151189560643,-0.0017657438784584305,0.0,0.0036,-0.0,0.00012206615870525471,0.0003664338047002744,-0.002097913518960511,0.0
0.060000000000000005,0.0030299999999999997,-0.0,3.3355145892248e-05,0.00027052373450059516,-0.001428908401162341,0.0,0.00372,-0.0,3.9829574726290106e-05,0.0003218728425924455,-0.0017004371892445672,0.0
0.07,0.0030299999999999997,-0.0,7.946176907826755e-06,0.00023335074222565044,-0.0011549999663135718,0.0,0.00372,-0.0,9.274757847436501e-06,0.0002779173782347062,-0.0013759876323020032,0.0
0.08,0.0029500000000000004,-0.0,3.075220408550384e-05,0.00019913039635981132,-0.000934986581448091,0.0,0.00372,-0.0,3.642416437349984e-05,0.0002374423140781526,-0.0011153911521259426,0.0
0.09,0.0029500000000000004,-0.0,4.177308252585235e-05,0.00016891794746895394,-0.0007599932106892123,0.0,0.00372,-0.0,4.960450065118412e-05,0.00020158040012942084,-0.0009074671635243965,0.0
0.09999999999999999,0.0029500000000000004,-0.0,4.559932992033167e-05,0.000142820300358121,-0.000620859997471415,0.0,0.00372,-0.0,5.422180157910879e-05,0.00017052714264097644,-0.0007417780864939276,0.0
