t,i_izq,vel_izq,i_izq_est,vel_izq_est,u_izq,ref_vel_izq,i_der,vel_der,i_der_est,vel_der_est,u_der,ref_vel_der
0.0,0.0029500000000000004,0.0,0.0019152996982821173,0.00039570856642812786,-0.006032818456965558,0.0,0.0037,0.0,0.002402240299540283,0.0004963124392488383,-0.007566585861278835,0.0
0.01,0.0029500000000000004,-0.0,0.0017359860840223638,0.0005594308585479801,-0.006476190458754719,0.0,0.0037,-0.0,0.0021773384782653375,0.0007016590429245852,-0.008122679558438123,0.0
0.02,0.0029500000000000004,-0.0,0.0016791427624130504,0.0007100430568524116,-0.007112426930160543,0.0,0.0037,-0.0,0.002106043464721453,0.0008905624780860756,-0.008920671064947122,0.0
0.03,0.0029500000000000004,-0.0,0.001644638452910099,0.0008407865735439581,-0.007696078963690456,0.0,0.0037,-0.0,0.00206276687314148,0.0010545458719025916,-0.009652709208696502,0.0
0.04,0.0029500000000000004,-0.0,0.0016178128997016597,0.0009484211608746368,-0.008179908169172185,0.0,0.0037,-0.0,0.00202912126403259,0.0011895451848258156,-0.010259545839300705,0.0
0.05,0.00292,-0.0,0.001581412086605448,0.001030013964604463,-0.008512740875268716,0.0,0.0037,-0.0,0.0020026225896321425,0.00129632441604084,-0.010739770297872991,0.0
0.060000000000000005,0.00292,-0.0,0.0015635146153281222,0.0010926159340673579,-0.008789295108038176,0.0,0.0037,-0.0,0.0019822348823930547,0.001378267778696235,-0.011108188311341223,0.0
0.07,0.00292,-0.0,0.0015514448477307358,0.0011396599185289015,-0.009000034005098806,0.0,0.0037,-0.0,0.0019668984661678737,0.0014397321894166304,-0.01138444001577847,0.0
0.08,0.00292,-0.0,0.001542709524470255,0.0011744020143831478,-0.009156041667002261,0.0,0.00362,-0.0,0.0019148387790777262,0.0014755875941354203,-0.011454522897772898,0.0
0.09,0.00292,-0.0,0.0015363592731509556,0.0011997230960606117,-0.009269779192251118,0.0,0.00362,-0.0,0.0019022034561421834,0.0015012491555729869,-0.011556694021170762,0.0
0.09999999999999999,0.00292,-0.0,0.0015317733310166559,0.0012179992532904756,-0.009351867004151124,0.0,0.00362,-0.0,0.0018966608657216147,0.0015197883867387081,-0.011638082118489624,0.0
0.10999999999999999,0.0029500000000000004,-0.0,0.0015437554523425293,0.0012346475876158947,-0.009460777812301403,0.0,0.00362,-0.0,0.0018931861465119372,0.0015331189431543424,-0.011697682564716401,0.0
0.11999999999999998,0.0029500000000000004,-0.0,0.0015430459781636417,0.0012467382815336276,-0.009519993322178696,0.0,0.00362,-0.0,0.001890773127677062,0.0015426503100220976,-0.01174044781105834,0.0
0.12999999999999998,0.0029500000000000004,-0.0,0.0015412171219417702,0.0012553441697932895,-0.009559345165409287,0.0,0.00362,-0.0,0.001889064907033966,0.0015494347418107764,-0.011770907922192968,0.0
0.13999999999999999,0.0029500000000000004,-0.0,0.001539732631371075,0.0012614359825449462,-0.009586799839640236,0.0,0.0036,-0.0,0.0018776728639310256,0.0015518808994287616,-0.011759127703386102,0.0
0.15,0.0029500000000000004,-0.0,0.0015386566383553076,0.0012657386808483206,-0.009606133248522856,0.0,0.0036,-0.0,0.0018757240194573997,0.0015534523830093422,-0.011762902402029549,0.0
0.16,0.0029500000000000004,-0.0,0.001537893544235234,0.0012687739621262053,-0.009619763191457608,0.0,0.0036,-0.0,0.0018752255005184194,0.001554543905401632,-0.011767330511728607,0.0
0.17,0.00285,-0.0,0.0014864498225535207,0.001259078070753811,-0.009462408598376758,0.0,0.0036,-0.0,0.0018749995720794724,0.0015553135653200649,-0.011770718170418061,0.0
0.18000000000000002,0.00285,-0.0,0.0014806120922824537,0.0012514096465593286,-0.00941156993169686,0.0,0.0036,-0.0,0.0018748581112747196,0.0015558571859275489,-0.011773149182461718,0.0
0.19000000000000003,0.00285,-0.0,0.00148088108225964,0.0012458941779444786,-0.009384441866863361,0.0,0.0037,-0.0,0.0019256660746886775,0.001568076230830364,-0.01194183101318848,0.0
0.20000000000000004,0.00285,-0.0,0.001481700992891137,0.0012419974885539207,-0.009366606326017197,0.0,0.0037,-0.0,0.0019310561186926278,0.001577522396148142,-0.012000651053905943,0.0
0.21000000000000005,0.00285,-0.0,0.001482368596050146,0.0012392542968353074,-0.009354241420159915,0.0,0.0037,-0.0,0.0019304718689126016,0.001584289824473124,-0.01203339997782684,0.0
0.22000000000000006,0.00285,-0.0,0.0014828512628024995,0.0012373245141784617,-0.009345570450645019,0.0,0.0037,-0.0,0.001929430008462235,0.001589067899065834,-0.012055192616809244,0.0
0.23000000000000007,0.00285,-0.0,0.0014831926415702773,0.0012359671258886508,-0.009339475347406215,0.0,0.0037,-0.0,0.0019286061843965933,0.0015924314399776355,-0.012070342653761121,0.0
0.24000000000000007,0.00285,-0.0,0.0014834330300080214,0.0012350123686977474,-0.009335188755813918,0.0,0.0037,-0.0,0.0019280135802091864,0.001594797770077111,-0.012080973548667159,0.0
0.25000000000000006,0.00285,-0.0,0.0014836021534810392,0.0012343408103183814,-0.009332173729154514,0.0,0.0037,-0.0,0.001927594845243838,0.001596462324019047,-0.012088447701092651,0.0
0.26000000000000006,0.00285,-0.0,0.0014837211180365553,0.001233868445587962,-0.009330053013331745,0.0,0.0037,-0.0,0.0019273000311712,0.001597633191284994,-0.012093704537668917,0.0
0.2700000000000001,0.00285,-0.0,0.0014838047972234741,0.001233536189075632,-0.009328561325104635,0.0,0.0037,-0.0,0.0019270926179714054,0.001598456786713428,-0.012097402147078322,0.0
0.2800000000000001,0.00285,-0.0,0.0014838636566231738,0.0012333024823061997,-0.009327512082823999,0.0,0.0037,-0.0,0.0019269467170071443,0.0015990361070927909,-0.012100003048612858,0.0
0.2900000000000001,0.00285,-0.0,0.0014839050580082499,0.0012331380942135694,-0.009326774051406753,0.0,0.0037,-0.0,0.0019268440890185983,0.0015994436026939185,-0.012101832528378155,0.0
0.3000000000000001,0.00285,-0.0,0.0014839341795758157,0.0012330224642625582,-0.009326254922936124,0.0,0.0037,-0.0,0.0019267719001535744,0.0015997302359276153,-0.012103119387888515,0.0
0.3100000000000001,0.00285,-0.0,0.0014839546636010535,0.0012329411304760852,-0.009325889769401782,0.0,0.00367,-0.0,0.001911449557427569,0.0015963812518584879,-0.01205393642602137,0.0
0.3200000000000001,0.00285,-0.0,0.0014839690720210002,0.0012328839204534053,-0.009325632921131172,0.0,0.00367,-0.0,0.0019097763616725966,0.0015937703982744614,-0.012037291525745364,0.0
0.3300000000000001,0.00285,-0.0,0.001483979206881579,0.0012328436790059007,-0.009325452254425147,0.0,0.00367,-0.0,0.0019099121052790745,0.001591897132983203,-0.012028171545646399,0.0
0.34000000000000014,0.00285,-0.0,0.0014839863357313586,0.0012328153732134833,-0.009325325173650261,0.0,0.00367,-0.0,0.0019101968446851767,0.0015905741737916176,-0.012022129689223681,0.0
0.35000000000000014,0.0028,-0.0,0.0014585387419094493,0.0012268777924314884,-0.009241755550658527,0.0,0.00367,-0.0,0.001910424417025222,0.0015896428395369292,-0.012017933645506561,0.0
0.36000000000000015,0.0028,-0.0,0.0014558131380419885,0.0012222760007816994,-0.009212890001486828,0.0,0.00362,-0.0,0.001885135817277287,0.0015830699582580334,-0.011931509670384473,0.0
0.37000000000000016,0.0028,-0.0,0.001456083730829762,0.0012189777822265854,-0.009196899378013016,0.0,0.00362,-0.0,0.0018825226170547894,0.0015780212803337002,-0.011900637488197644,0.0
0.38000000000000017,0.0028,-0.0,0.0014565894947426543,0.0012166489745632286,-0.009186273469030549,0.0,0.00362,-0.0,0.0018828723563466924,0.0015744087196765057,-0.011883235560275493,0.0
0.3900000000000002,0.0028,-0.0,0.001456990726827377,0.0012150096166087445,-0.009178888867935171,0.0,0.00362,-0.0,0.0018834338037020096,0.0015718588034452957,-0.011871616962977996,0.0
0.4000000000000002,0.0028,-0.0,0.0014572795103440428,0.0012138563084415233,-0.009173707466917728,0.0,0.00362,-0.0,0.0018838742052205407,0.0015700639176747689,-0.011863534108265504,0.0
0.4100000000000002,0.00283,-0.0,0.001472755150973107,0.0012165956472796479,-0.009220152873939385,0.0,0.00362,-0.0,0.0018841905407623355,0.0015688012112337248,-0.01185786155613186,0.0
0.4200000000000002,0.00283,-0.0,0.0014745363127133936,0.0012187776727967988,-0.009234872447786665,0.0,0.00362,-0.0,0.0018844139965718892,0.0015679129970190327,-0.01185387334684325,0.0
0.4300000000000002,0.00283,-0.0,0.0014744765320037435,0.001220349299979984,-0.009242638192486618,0.0,0.00362,-0.0,0.0018845713116931978,0.0015672882233151036,-0.011851068309141373,0.0
0.4400000000000002,0.00283,-0.0,0.0014742452277183905,0.001221460086899574,-0.009247727485550123,0.0,0.00362,-0.0,0.0018846819868023335,0.001566848756937387,-0.01184909528435126,0.0
0.45000000000000023,0.00283,-0.0,0.001474055242043718,0.0012222421791930063,-0.009251253497122986,0.0,0.00362,-0.0,0.0018847598385080973,0.0015665396362053606,-0.011847707464288761,0.0
0.46000000000000024,0.00283,-0.0,0.0014739176720582644,0.0012227924131790408,-0.009253725937340307,0.0,0.00362,-0.0,0.001884814599806888,0.0015663222006692195,-0.011846731272454197,0.0
0.47000000000000025,0.00283,-0.0,0.0014738203381267816,0.0012231794636653618,-0.00925546393351363,0.0,0.00362,-0.0,0.0018848531189636715,0.001566169256510189,-0.011846044619228238,0.0
